,codimap_category,codimap_title,codimap_date,views,comment_numbers
0,캐주얼,톤온톤 코디,21.07.02,"16,092",49
1,캐주얼,블랙 매니아,21.02.23,"34,681",46
2,캐주얼,오늘의 코디,22.03.22,"12,205",38
3,댄디,추천 댄디 룩,21.09.15,"20,191",27
4,캐주얼,릴랙스 룩,21.02.23,"23,544",22
5,스트릿,힙하다 힙해,21.02.03,"35,295",21
6,캐주얼,심플한 코디,21.07.30,"39,591",18
7,댄디,데이트 코디,21.12.24,"10,316",18
8,댄디,훈훈 남친 룩,21.03.24,"19,350",16
9,캐주얼,지금 입기 좋아,21.08.31,"20,219",16
10,댄디,서머 데이트 룩,21.07.26,"7,865",15
11,댄디,남친 룩으로 제격,21.12.24,"9,653",14
12,포멀,깔끔하게 즐겨,21.11.09,"6,315",13
13,아메리칸 캐주얼,남다른 감각,21.11.17,"4,338",11
14,캐주얼,편안함의 완성,21.10.04,"19,426",11
15,캐주얼,원 마일 웨어,21.10.08,"16,785",10
16,아메리칸 캐주얼,아메리칸 캐주얼,21.12.21,"4,496",10
17,캐주얼,편하게 완성,21.07.21,"14,986",10
18,캐주얼,레이어드의 매력,21.06.04,"12,675",9
19,포멀,매력적인 포멀 룩,21.09.17,"11,339",9
20,댄디,레이어드의 매력,21.11.23,"10,165",8
21,캐주얼,발랄함 가득!,21.07.05,"3,141",8
22,댄디,남친 룩의 정석,20.11.04,"16,271",8
23,포멀,손색 없는 단정함,21.11.12,"3,160",8
24,시크,시크한 감각,21.08.20,"3,718",8
25,캐주얼,서머 캠퍼스 룩,22.07.19,"3,138",8
26,캐주얼,꾸안꾸 코디,22.11.04,"3,876",8
27,포멀,깔끔한 매력,21.03.08,"13,732",8
28,캐주얼,러블리 캐주얼,20.11.18,"9,420",7
29,캐주얼,캠퍼스 룩,21.07.12,"7,346",7
30,캐주얼,오늘의 무드,21.12.06,"6,963",7
31,캐주얼,캐주얼 룩의 정석,20.11.06,"16,156",7
32,캐주얼,잘 고른 재킷,20.10.28,"20,264",7
33,포멀,단정한 모습,21.11.26,"5,655",7
34,댄디,훈훈한 스타일,21.12.29,"3,516",7
35,아메리칸 캐주얼,실패 없는 코디,21.06.11,"8,272",6
36,캐주얼,피크닉 가자!,21.08.20,"2,696",6
37,댄디,데이트하는 날,21.09.07,"16,910",6
38,댄디,레더 스타일링,21.09.28,"8,154",6
39,아메리칸 캐주얼,센스 있는 아메카지,22.10.26,"7,003",6
40,캐주얼,귀여운 프레피 룩,21.06.04,"12,148",6
41,캐주얼,남친 룩 추천,21.06.11,"10,877",6
42,아메리칸 캐주얼,아메카지 무드,22.06.17,"4,690",6
43,로맨틱,레트로 스타일링,21.05.17,"2,298",6
44,포멀,깔끔한 연출,21.11.10,"3,575",6
45,포멀,클래식한 실루엣,21.01.15,"4,239",6
46,포멀,완벽한 스타일링,21.09.15,"3,987",6
47,캐주얼,멋 내는 방법,21.07.02,"5,900",5
48,걸리시,귀여운 매치,21.05.17,"1,919",5
49,스트릿,스트릿 무드,21.09.06,"4,287",5
50,캐주얼,캐주얼 룩의 정석,21.03.12,"10,978",5
51,스트릿,스트라이프 활용법,21.02.19,"2,802",5
52,걸리시,누구나 반해,21.12.24,"4,545",5
53,포멀,데이트 룩 완성!,21.02.08,"10,461",5
54,캐주얼,편하게 멋 내봐,21.09.08,"11,401",5
55,댄디,레이어드 코디,21.06.10,"2,570",5
56,캐주얼,그린 포인트!,21.05.28,"5,431",5
57,캐주얼,트렌디해!,21.12.24,"2,704",5
58,캐주얼,가볍게 툭!,21.05.31,"3,440",5
59,캐주얼,레트로 무드,21.03.12,"11,483",5
